player,total_games,win_rate
0#0,517,0.549
1#1,647,0.541
2#2,679,0.533
3#3,410,0.58
4#4,581,0.552
5#5,398,0.583
6#6,429,0.566
7#7,608,0.549
8#8,514,0.562
9#9,432,0.581
10#10,695,0.545
11#11,510,0.565
12#12,718,0.533
13#13,660,0.541
14#14,472,0.555
15#15,418,0.574
16#16,454,0.568
17#17,785,0.527
18#18,514,0.554
19#19,594,0.544
20#20,508,0.571
21#21,801,0.529
22#22,834,0.529
23#23,724,0.54
24#24,509,0.556
25#25,594,0.544
26#26,366,0.577
27#27,493,0.548
28#28,638,0.538
29#29,223,0.646
30#30,610,0.543
31#31,779,0.525
32#32,734,0.534
33#33,626,0.548
34#34,675,0.547
35#35,589,0.542
36#36,620,0.552
37#37,488,0.537
38#38,565,0.552
39#39,645,0.552
40#40,407,0.577
41#41,695,0.531
42#42,211,0.654
43#43,909,0.531
44#44,459,0.573
45#45,461,0.57
46#46,551,0.543
47#47,697,0.539
48#48,535,0.555
49#49,300,0.6
50#50,236,0.644
51#51,414,0.575
52#52,508,0.555
53#53,350,0.603
54#54,776,0.536
55#55,493,0.562
56#56,411,0.567
57#57,429,0.583
58#58,555,0.548
59#59,570,0.542
60#60,498,0.566
61#61,661,0.539
62#62,584,0.55
63#63,802,0.52
64#64,662,0.544
65#65,567,0.536
66#66,296,0.618
67#67,599,0.556
68#68,870,0.528
69#69,490,0.561
70#70,806,0.542
71#71,466,0.552
72#72,536,0.55
73#73,532,0.553
74#74,865,0.525
75#75,470,0.56
76#76,587,0.549
77#77,694,0.545
78#78,426,0.585
79#79,738,0.535
80#80,925,0.529
81#81,495,0.556
82#82,737,0.537
83#83,771,0.527
84#84,443,0.571
85#85,594,0.542
86#86,526,0.559
87#87,842,0.539
88#88,430,0.574
89#89,386,0.583
90#90,644,0.55
91#91,491,0.568
92#92,521,0.568
93#93,651,0.541
94#94,280,0.625
95#95,458,0.561
96#96,367,0.599
97#97,445,0.571
98#98,1025,0.514
99#99,482,0.573
100#100,594,0.552
101#101,370,0.586
102#102,530,0.553
103#103,686,0.531
104#104,598,0.547
105#105,472,0.568
106#106,793,0.538
107#107,634,0.538
108#108,691,0.533
109#109,398,0.58
110#110,471,0.558
111#111,622,0.556
112#112,682,0.534
113#113,622,0.547
114#114,343,0.583
115#115,554,0.543
116#116,538,0.548
117#117,658,0.547
118#118,461,0.57
119#119,383,0.567
120#120,829,0.539
121#121,517,0.557
122#122,541,0.553
123#123,701,0.544
124#124,606,0.545
125#125,419,0.585
126#126,357,0.577
127#127,856,0.534
128#128,828,0.533
129#129,326,0.601
130#130,552,0.54
131#131,829,0.532
132#132,530,0.566
133#133,544,0.55
134#134,709,0.532
135#135,615,0.554
136#136,645,0.55
137#137,441,0.567
138#138,476,0.561
139#139,724,0.539
140#140,519,0.545
141#141,624,0.548
142#142,657,0.542
143#143,608,0.556
144#144,519,0.565
145#145,562,0.553
146#146,729,0.536
147#147,427,0.581
148#148,626,0.548
149#149,573,0.551
150#150,1059,0.522
151#151,538,0.535
152#152,658,0.535
153#153,719,0.545
154#154,801,0.537
155#155,573,0.56
156#156,634,0.538
157#157,436,0.578
158#158,385,0.582
159#159,596,0.544
160#160,415,0.561
161#161,669,0.526
162#162,591,0.555
163#163,611,0.548
164#164,459,0.564
165#165,501,0.573
166#166,528,0.545
167#167,360,0.561
168#168,685,0.543
169#169,882,0.528
170#170,454,0.568
171#171,460,0.58
172#172,478,0.563
173#173,586,0.56
174#174,689,0.54
175#175,658,0.552
176#176,607,0.547
177#177,623,0.551
178#178,356,0.579
179#179,688,0.533
180#180,513,0.546
181#181,588,0.546
182#182,712,0.532
183#183,655,0.55
184#184,427,0.576
185#185,721,0.523
186#186,496,0.56
187#187,826,0.536
188#188,934,0.527
189#189,553,0.559
190#190,530,0.551
191#191,485,0.563
192#192,513,0.548
193#193,673,0.539
194#194,605,0.55
195#195,323,0.604
196#196,760,0.534
197#197,480,0.562
198#198,393,0.562
199#199,622,0.556
200#200,509,0.558
201#201,583,0.544
202#202,723,0.537
203#203,541,0.56
204#204,493,0.57
205#205,643,0.547
206#206,986,0.528
207#207,771,0.537
208#208,613,0.527
209#209,567,0.549
210#210,916,0.537
211#211,485,0.563
212#212,406,0.579
213#213,912,0.519
214#214,376,0.574
215#215,618,0.547
216#216,730,0.533
217#217,496,0.554
218#218,631,0.54
219#219,562,0.544
220#220,272,0.632
221#221,655,0.545
222#222,565,0.561
223#223,526,0.557
224#224,594,0.547
225#225,511,0.552
226#226,331,0.607
227#227,859,0.534
228#228,783,0.539
229#229,507,0.55
230#230,623,0.543
231#231,451,0.568
232#232,854,0.534
233#233,587,0.554
234#234,565,0.559
235#235,734,0.54
236#236,322,0.606
237#237,600,0.542
238#238,767,0.533
239#239,534,0.551
240#240,484,0.554
241#241,369,0.577
242#242,692,0.53
243#243,663,0.554
244#244,373,0.584
245#245,346,0.601
246#246,442,0.545
247#247,743,0.536
248#248,1179,0.514
249#249,336,0.592
250#250,473,0.562
251#251,247,0.64
252#252,623,0.552
253#253,626,0.548
254#254,480,0.55
255#255,378,0.59
256#256,594,0.525
257#257,573,0.557
258#258,464,0.569
259#259,317,0.596
260#260,707,0.542
261#261,350,0.589
262#262,789,0.534
263#263,700,0.54
264#264,553,0.55
265#265,580,0.555
266#266,474,0.57
267#267,565,0.566
268#268,713,0.541
269#269,654,0.534
270#270,633,0.553
271#271,633,0.534
272#272,692,0.545
273#273,501,0.541
274#274,472,0.557
275#275,586,0.549
276#276,817,0.529
277#277,463,0.577
278#278,567,0.557
279#279,541,0.54
280#280,832,0.528
281#281,566,0.548
282#282,416,0.577
283#283,447,0.573
284#284,441,0.578
285#285,369,0.596
286#286,382,0.586
287#287,492,0.559
288#288,595,0.546
289#289,625,0.552
290#290,519,0.563
291#291,527,0.56
292#292,410,0.576
293#293,755,0.522
294#294,625,0.531
295#295,311,0.617
296#296,555,0.542
297#297,523,0.553
298#298,530,0.564
299#299,1033,0.507
300#300,335,0.597
301#301,672,0.555
302#302,822,0.53
303#303,431,0.58
304#304,498,0.558
305#305,447,0.573
306#306,612,0.551
307#307,639,0.541
308#308,458,0.566
309#309,468,0.568
310#310,409,0.584
311#311,537,0.549
312#312,609,0.534
313#313,590,0.556
314#314,463,0.568
315#315,642,0.536
316#316,548,0.557
317#317,563,0.54
318#318,634,0.55
319#319,463,0.572
320#320,503,0.559
321#321,472,0.568
322#322,718,0.538
323#323,351,0.601
324#324,901,0.533
325#325,501,0.547
326#326,524,0.553
327#327,582,0.546
328#328,785,0.53
329#329,532,0.56
330#330,365,0.589
331#331,423,0.57
332#332,495,0.568
333#333,333,0.604
334#334,319,0.602
335#335,587,0.537
336#336,391,0.57
337#337,568,0.546
338#338,294,0.602
339#339,603,0.554
340#340,345,0.574
341#341,371,0.59
342#342,654,0.544
343#343,418,0.581
344#344,540,0.569
345#345,941,0.53
346#346,551,0.548
347#347,637,0.553
348#348,548,0.562
349#349,546,0.56
350#350,337,0.588
351#351,813,0.534
352#352,989,0.511
353#353,337,0.602
354#354,495,0.558
355#355,377,0.576
356#356,440,0.58
357#357,360,0.586
358#358,418,0.565
359#359,690,0.536
360#360,775,0.532
361#361,507,0.562
362#362,1078,0.516
363#363,371,0.588
364#364,584,0.551
365#365,494,0.567
366#366,613,0.553
367#367,685,0.545
368#368,567,0.541
369#369,577,0.553
370#370,660,0.552
371#371,526,0.561
372#372,586,0.56
373#373,727,0.549
374#374,515,0.561
375#375,513,0.563
376#376,768,0.53
377#377,782,0.538
378#378,542,0.554
379#379,789,0.53
380#380,506,0.561
381#381,238,0.647
382#382,496,0.565
383#383,697,0.545
384#384,938,0.517
385#385,530,0.56
386#386,817,0.531
387#387,572,0.563
388#388,614,0.56
